$ Aurora File: n/a        Date:   Misc: 
$ Atem File: p2.gtr
VARIABLE W = 1.500000e-05
VARIABLE L = 1.800000e-06
VARIABLE T = 25
VARIABLE REGION = 0

TABLE VGS  VBS  VDS  ID
-0.000000e+00   -0.000000e+00   5.000000e-02   1.844400e-08
5.000000e+00   -5.000000e-01   5.000000e-02   2.932500e-05
4.900000e+00   -5.000000e-01   5.000000e-02   2.874750e-05
4.800000e+00   -5.000000e-01   5.000000e-02   2.813300e-05
4.700000e+00   -5.000000e-01   5.000000e-02   2.751050e-05
4.600000e+00   -5.000000e-01   5.000000e-02   2.690250e-05
4.500000e+00   -5.000000e-01   5.000000e-02   2.628800e-05
4.400000e+00   -5.000000e-01   5.000000e-02   2.562900e-05
4.300000e+00   -5.000000e-01   5.000000e-02   2.495350e-05
4.200000e+00   -5.000000e-01   5.000000e-02   2.427550e-05
4.100000e+00   -5.000000e-01   5.000000e-02   2.361300e-05
4.000000e+00   -5.000000e-01   5.000000e-02   2.292000e-05
3.900000e+00   -5.000000e-01   5.000000e-02   2.218250e-05
3.800000e+00   -5.000000e-01   5.000000e-02   2.144950e-05
3.700000e+00   -5.000000e-01   5.000000e-02   2.072300e-05
3.600000e+00   -5.000000e-01   5.000000e-02   1.997400e-05
3.500000e+00   -5.000000e-01   5.000000e-02   1.918000e-05
3.400000e+00   -5.000000e-01   5.000000e-02   1.837400e-05
3.300000e+00   -5.000000e-01   5.000000e-02   1.757750e-05
3.200000e+00   -5.000000e-01   5.000000e-02   1.676200e-05
3.100000e+00   -5.000000e-01   5.000000e-02   1.590150e-05
3.000000e+00   -5.000000e-01   5.000000e-02   1.502350e-05
2.900000e+00   -5.000000e-01   5.000000e-02   1.414350e-05
2.800000e+00   -5.000000e-01   5.000000e-02   1.326300e-05
2.700000e+00   -5.000000e-01   5.000000e-02   1.233300e-05
2.600000e+00   -5.000000e-01   5.000000e-02   1.137000e-05
2.500000e+00   -5.000000e-01   5.000000e-02   1.042250e-05
2.400000e+00   -5.000000e-01   5.000000e-02   9.449200e-06
2.300000e+00   -5.000000e-01   5.000000e-02   8.461050e-06
2.200000e+00   -5.000000e-01   5.000000e-02   7.453000e-06
2.100000e+00   -5.000000e-01   5.000000e-02   6.422900e-06
2.000000e+00   -5.000000e-01   5.000000e-02   5.383000e-06
1.900000e+00   -5.000000e-01   5.000000e-02   4.355100e-06
1.800000e+00   -5.000000e-01   5.000000e-02   3.357300e-06
1.700000e+00   -5.000000e-01   5.000000e-02   2.413050e-06
1.600000e+00   -5.000000e-01   5.000000e-02   1.558800e-06
1.500000e+00   -5.000000e-01   5.000000e-02   8.211200e-07
1.400000e+00   -5.000000e-01   5.000000e-02   3.256350e-07
1.300000e+00   -5.000000e-01   5.000000e-02   7.875750e-08
1.200000e+00   -5.000000e-01   5.000000e-02   2.532500e-08
1.100000e+00   -5.000000e-01   5.000000e-02   -1.660550e-08
1.000000e+00   -5.000000e-01   5.000000e-02   -8.988500e-09
9.000000e-01   -5.000000e-01   5.000000e-02   -1.240000e-10
8.000000e-01   -5.000000e-01   5.000000e-02   -2.415000e-10
7.000000e-01   -5.000000e-01   5.000000e-02   -5.810000e-10
6.000000e-01   -5.000000e-01   5.000000e-02   1.861700e-08
5.000000e-01   -5.000000e-01   5.000000e-02   -2.585000e-10
4.000000e-01   -5.000000e-01   5.000000e-02   1.928800e-08
3.000000e-01   -5.000000e-01   5.000000e-02   -1.233100e-08
2.000000e-01   -5.000000e-01   5.000000e-02   -1.897150e-08
1.000000e-01   -5.000000e-01   5.000000e-02   1.917600e-08
-0.000000e+00   -5.000000e-01   5.000000e-02   -6.910000e-10
5.000000e+00   -1.000000e+00   5.000000e-02   2.794700e-05
4.900000e+00   -1.000000e+00   5.000000e-02   2.735700e-05
4.800000e+00   -1.000000e+00   5.000000e-02   2.674300e-05
4.700000e+00   -1.000000e+00   5.000000e-02   2.613000e-05
4.600000e+00   -1.000000e+00   5.000000e-02   2.551150e-05
4.500000e+00   -1.000000e+00   5.000000e-02   2.486600e-05
4.400000e+00   -1.000000e+00   5.000000e-02   2.422050e-05
4.300000e+00   -1.000000e+00   5.000000e-02   2.354900e-05
4.200000e+00   -1.000000e+00   5.000000e-02   2.287400e-05
4.100000e+00   -1.000000e+00   5.000000e-02   2.218550e-05
4.000000e+00   -1.000000e+00   5.000000e-02   2.147400e-05
3.900000e+00   -1.000000e+00   5.000000e-02   2.075150e-05
3.800000e+00   -1.000000e+00   5.000000e-02   2.002550e-05
3.700000e+00   -1.000000e+00   5.000000e-02   1.926800e-05
