VGS,VDS,ID1,ID2
-1.27,-3,0.000000015669,0.000000019336
-1.26,-3,-0.000000017963,-0.00000001771
-1.25,-3,0.00000001916,0.000000018888
-1.24,-3,-0.000000017735,-0.000000019583
-1.23,-3,0.000000017322,0.000000019009
-1.22,-3,-0.000000018397,-0.000000017909
-1.21,-3,0.000000018757,0.000000019359
-1.2,-3,-0.000000017136,-0.000000019338
-1.19,-3,0.000000017931,0.000000018607
-1.18,-3,-0.000000018689,-0.000000018195
-1.17,-3,0.000000018503,0.000000019802
-1.16,-3,-0.000000017199,-0.000000018891
-1.15,-3,0.000000018178,0.000000018433
-1.14,-3,-0.000000018738,-0.000000018605
-1.13,-3,0.000000018243,0.000000019956
-1.12,-3,-0.000000017317,-0.000000018658
-1.11,-3,0.00000001845,0.000000018123
-1.1,-3,-0.000000018698,-0.000000019125
-1.09,-3,0.000000018013,0.000000019674
-1.08,-3,-0.00000001749,-0.000000018295
-1.07,-3,0.000000018803,0.000000018623
-1.06,-3,-0.000000018289,-0.000000019513
-1.05,-3,0.0000000178,0.00000001924
-1.04,-3,-0.000000017712,-0.000000018045
-1.03,-3,0.000000019063,0.00000001902
-1.02,-3,-0.000000018017,-0.000000019513
-1.01,-3,0.000000017632,0.000000018882
-1,-3,-0.000000017943,-0.000000018065
-0.99,-3,0.000000019171,0.00000001958
-0.98,-3,-0.000000017817,-0.000000019142
-0.97,-3,0.000000017458,0.000000018521
-0.96,-3,-0.000000018205,-0.000000018371
-0.95,-3,0.000000019029,0.000000019928
-0.94,-3,-0.000000017549,-0.00000001882
-0.93,-3,0.000000017835,0.000000018314
-0.92,-3,-0.000000018544,-0.000000018771
-0.91,-3,0.000000018636,0.000000019907
-0.9,-3,-0.000000017427,-0.000000018441
-0.89,-3,0.000000018024,0.000000018491
-0.88,-3,-0.000000018671,-0.000000019309
-0.87,-3,0.000000018406,0.000000019478
-0.86,-3,-0.000000017283,-0.000000018241
-0.85,-3,0.000000018294,0.000000018764
-0.84,-3,-0.000000018752,-0.000000019513
-0.83,-3,0.000000018151,0.000000019061
-0.82,-3,-0.000000017398,-0.000000017868
-0.81,-3,0.000000018659,0.000000019152
-0.8,-3,-0.000000018497,-0.00000001951
-0.79,-3,0.000000017821,0.000000018748
-0.78,-3,-0.000000017544,-0.000000018195
-0.77,-3,0.000000018996,0.000000019732
-0.76,-3,-0.000000018197,-0.000000018977
-0.75,-3,0.000000017674,0.000000018501
-0.74,-3,-0.000000017761,-0.000000018483
-0.73,-3,0.000000019084,0.000000019969
-0.72,-3,-0.000000018026,-0.000000018665
-0.71,-3,0.000000017543,0.000000018271
-0.7,-3,-0.00000001804,-0.000000018943
-0.690000000000001,-3,0.000000019162,0.000000019804
-0.68,-3,-0.000000017695,-0.00000001832
-0.67,-3,0.000000017305,0.000000018565
-0.66,-3,-0.000000018364,-0.000000019477
-0.65,-3,0.000000018807,0.000000019284
-0.64,-3,-0.000000017455,-0.000000018134
-0.63,-3,0.000000017946,0.000000018894
-0.62,-3,-0.000000018647,-0.000000019555
-0.61,-3,0.000000018471,0.000000018967
-0.6,-3,-0.000000017191,-0.000000017992
-0.59,-3,0.000000018106,0.000000019454
-0.58,-3,-0.000000018756,-0.000000019301
-0.57,-3,0.000000018278,0.000000018563
-0.56,-3,-0.000000017366,-0.000000018248
-0.55,-3,0.000000018375,0.000000019878
-0.54,-3,-0.000000018699,-0.0000000189
-0.53,-3,0.000000017999,0.000000018398
-0.52,-3,-0.000000017564,-0.000000018686
-0.51,-3,0.000000018808,0.000000019935
-0.5,-3,-0.000000018252,-0.000000018578
-0.49,-3,0.000000017759,0.000000018144
-0.48,-3,-0.000000017687,-0.000000019218
-0.47,-3,0.000000019074,0.000000019538
-0.46,-3,-0.000000018086,-0.00000001825
-0.45,-3,0.000000017626,0.000000018702
-0.44,-3,-0.000000017867,-0.00000001951
-0.43,-3,0.000000019191,0.000000019202
-0.42,-3,-0.000000017853,-0.000000017793
-0.41,-3,0.000000017384,0.000000019144
-0.4,-3,-0.000000018191,-0.000000019518
-0.39,-3,0.000000019041,0.00000001882
-0.38,-3,-0.000000017612,-0.000000018075
-0.37,-3,0.000000017833,0.000000019632
-0.36,-3,-0.000000018544,-0.00000001909
-0.35,-3,0.000000018624,0.000000018569
-0.34,-3,-0.000000017425,-0.000000018476
-0.33,-3,0.000000018042,0.000000019893
-0.32,-3,-0.000000018659,-0.000000018796
-0.31,-3,0.000000018391,0.000000018297
-0.3,-3,-0.000000017273,-0.00000001887
-0.29,-3,0.000000018294,0.000000019875
-0.28,-3,-0.000000018739,-0.000000018413
-0.27,-3,0.000000018136,0.000000018512
-0.26,-3,-0.000000017384,-0.000000019363
-0.25,-3,0.000000018634,0.000000019393
-0.24,-3,-0.000000018573,-0.000000018171
-0.23,-3,0.000000017854,0.000000018897
-0.22,-3,-0.000000017532,-0.000000019564
-0.21,-3,0.000000018932,0.000000019091
-0.2,-3,-0.000000018227,-0.000000017947
-0.19,-3,0.000000017765,0.000000019276
-0.18,-3,-0.000000017786,-0.000000019408
-0.17,-3,0.000000019083,0.00000001868
-0.16,-3,-0.000000018034,-0.000000018232
-0.15,-3,0.000000017539,0.000000019814
-0.14,-3,-0.00000001795,-0.000000018965
-0.13,-3,0.000000019154,0.000000018476
-0.12,-3,-0.000000017724,-0.000000018576
-0.11,-3,0.000000017328,0.000000019969
-0.0999999999999996,-3,-0.000000018341,-0.000000018633
-0.0899999999999999,-3,0.00000001883,0.000000018169
-0.0800000000000001,-3,-0.000000017097,-0.000000019102
-0.0700000000000003,-3,0.000000017922,0.000000019708
-0.0599999999999996,-3,-0.000000018679,-0.000000018295
-0.0499999999999998,-3,0.000000018561,0.00000001783
-0.04,-3,-0.000000017319,-0.000000019458
-0.0300000000000002,-3,0.000000018045,0.000000019225
-0.0199999999999996,-3,-0.000000018748,-0.000000017775
-0.00999999999999979,-3,0.000000018324,0.000000019025
0,-3,-0.0000000174,-0.000000019559
-5,-2.5,-0.000087665,-0.000087659
-4.99,-2.5,-0.000087158,-0.000087157
-4.98,-2.5,-0.000086611,-0.000086607
-4.97,-2.5,-0.000086121,-0.000086116
-4.96,-2.5,-0.000085666,-0.000085661
-4.95,-2.5,-0.000085178,-0.000085183
-4.94,-2.5,-0.000084671,-0.000084674
-4.93,-2.5,-0.000084164,-0.000084157
-4.92,-2.5,-0.0000837,-0.000083703
-4.91,-2.5,-0.000083199,-0.000083201
-4.9,-2.5,-0.000082699,-0.000082699
-4.89,-2.5,-0.000082246,-0.00008224
-4.88,-2.5,-0.000081768,-0.000081771
-4.87,-2.5,-0.000081221,-0.000081225
-4.86,-2.5,-0.00008074,-0.000080734
-4.85,-2.5,-0.000080277,-0.00008028
-4.84,-2.5,-0.000079793,-0.000079796
-4.83,-2.5,-0.000079287,-0.000079287
-4.82,-2.5,-0.000078783,-0.000078782
-4.81,-2.5,-0.000078321,-0.000078321
-4.8,-2.5,-0.000077817,-0.000077824
-4.79,-2.5,-0.000077331,-0.000077331
-4.78,-2.5,-0.000076875,-0.000076876
-4.77,-2.5,-0.000076361,-0.000076367
-4.76,-2.5,-0.000075856,-0.000075857
-4.75,-2.5,-0.000075387,-0.000075386
-4.74,-2.5,-0.000074934,-0.00007493
-4.73,-2.5,-0.00007444,-0.000074445
-4.72,-2.5,-0.000073906,-0.000073904
-4.71,-2.5,-0.000073454,-0.000073444
-4.7,-2.5,-0.000072988,-0.000072993
-4.69,-2.5,-0.00007249,-0.000072491
-4.68,-2.5,-0.00007201,-0.000072011
-4.67,-2.5,-0.000071527,-0.000071528
-4.66,-2.5,-0.000071052,-0.000071061
-4.65,-2.5,-0.000070554,-0.000070561
-4.64,-2.5,-0.000070102,-0.000070097
-4.63,-2.5,-0.000069648,-0.000069655
-4.62,-2.5,-0.000069121,-0.000069131
-4.61,-2.5,-0.000068642,-0.000068642
-4.6,-2.5,-0.000068203,-0.000068201
-4.59,-2.5,-0.000067744,-0.000067745
-4.58,-2.5,-0.000067249,-0.000067255
-4.57,-2.5,-0.00006679,-0.000066783
-4.56,-2.5,-0.000066315,-0.000066313
-4.55,-2.5,-0.000065843,-0.00006585
-4.54,-2.5,-0.000065359,-0.000065357
-4.53,-2.5,-0.000064919,-0.000064917
-4.52,-2.5,-0.000064476,-0.000064479
-4.51,-2.5,-0.000063958,-0.000063969
-4.5,-2.5,-0.000063497,-0.0000635
-4.49,-2.5,-0.000063068,-0.000063071
-4.48,-2.5,-0.000062613,-0.000062623
-4.47,-2.5,-0.000062138,-0.000062139
-4.46,-2.5,-0.00006166,-0.000061657
-4.45,-2.5,-0.000061233,-0.000061232
-4.44,-2.5,-0.00006077,-0.000060776
-4.43,-2.5,-0.0000603,-0.000060301
-4.42,-2.5,-0.000059878,-0.000059876
-4.41,-2.5,-0.000059411,-0.000059413
-4.4,-2.5,-0.00005894,-0.000058944
-4.39,-2.5,-0.000058497,-0.000058496
-4.38,-2.5,-0.000058076,-0.000058078
